"","road","chainage.road","lrp","lat.road","lon.road","type","chainage.bridge","condition","lat.bridge","lon.bridge","destination","chainage","lat","lon"
"939","N1",331.009,"LRP335d",21.7732771,92.0837219,"Culvert",NA,NA,NA,NA,"LRP336",331.009,21.7732771,92.0837219
"940","N1",331.302,"LRP336",21.7713049,92.0818327,"KmPost",NA,NA,NA,NA,"LRP336a",331.302,21.7713049,92.0818327
"941","N1",331.326,"LRP336a",21.7711938,92.0816382,"Bridge",339.648,"A",21.70283004,92.07864563,"LRP336b",331.326,21.7711938,92.0816382
"942","N1",331.637,"LRP336b",21.7693327,92.079416,"Bridge",NA,NA,NA,NA,"LRP336c",331.637,21.7693327,92.079416
"943","N1",332.066,"LRP336c",21.7664722,92.0767771,"SideRoad,Right",NA,NA,NA,NA,"LRP337",332.066,21.7664722,92.0767771
"944","N1",332.302,"LRP337",21.7646389,92.075916,"KmPost",NA,NA,NA,NA,"LRP337a",332.302,21.7646389,92.075916
"945","N1",332.877,"LRP337a",21.7596389,92.0764993,"SideRoad,Right",NA,NA,NA,NA,"LRP338",332.877,21.7596389,92.0764993
"946","N1",333.43,"LRP338",21.7546944,92.0770271,"KmPost",NA,NA,NA,NA,"LRP339",333.43,21.7546944,92.0770271
"947","N1",334.432,"LRP339",21.7466386,92.080916,"KmPost",NA,NA,NA,NA,"LRP339a",334.432,21.7466386,92.080916
"948","N1",335.297,"LRP339a",21.7392497,92.0828604,"Culvert",342.77,"C",21.67627929,92.07680747,"LRP340",335.297,21.7392497,92.0828604
"949",NA,NA,"LRP332a",NA,NA,NA,335.38,"A",21.73856292,92.08318763,"LRP332b",335.38,21.73856292,92.08318763
"950","N1",335.438,"LRP340",21.738083,92.0834163,"KmPost",NA,NA,NA,NA,"LRP340a",335.438,21.738083,92.0834163
"951","N1",335.489,"LRP340a",21.7376386,92.0834719,"Culvert",344.209,"A",21.66294044,92.07507165,"LRP340b",335.489,21.7376386,92.0834719
"952",NA,NA,"LRP332b",NA,NA,NA,336.054,"A",21.73260686,92.08374883,"LRP332c",336.054,21.73260686,92.08374883
"953","N1",336.169,"LRP340b",21.7315827,92.0838052,"Culvert",NA,NA,NA,NA,"LRP340c",336.169,21.7315827,92.0838052
"954",NA,NA,"LRP332c",NA,NA,NA,336.237,"C",21.73098783,92.08381564,"LRP339c",336.237,21.73098783,92.08381564
"955","N1",336.35,"LRP340c",21.7299993,92.083833,"Bridge",NA,NA,NA,NA,"LRP340d",336.35,21.7299993,92.083833
"956","N1",336.389,"LRP340d",21.7296382,92.083833,"Bridge",NA,NA,NA,NA,"LRP341",336.389,21.7296382,92.083833
"957","N1",336.458,"LRP341",21.7290271,92.0838608,"KmPost",NA,NA,NA,NA,"LRP341a",336.458,21.7290271,92.0838608
"958","N1",337.147,"LRP341a",21.7229438,92.0834719,"Culvert",344.531,"C",21.6600543,92.07510257,"LRP341b",337.147,21.7229438,92.0834719
"959","N1",337.31,"LRP341b",21.7215549,92.0830827,"SideRoad,Left",NA,NA,NA,NA,"LRP342",337.31,21.7215549,92.0830827
"960","N1",337.458,"LRP342",21.7204716,92.0822493,"KmPost",NA,NA,NA,NA,"LRP342a",337.458,21.7204716,92.0822493
"961","N1",337.878,"LRP342a",21.7169438,92.0824993,"Culvert",345.592,"C",21.65085607,92.07356192,"LRP343",337.878,21.7169438,92.0824993
"962","N1",338.491,"LRP343",21.7120833,92.0821104,"KmPost",NA,NA,NA,NA,"LRP343a",338.491,21.7120833,92.0821104
"963","N1",339.018,"LRP343a",21.7080278,92.0800549,"Culvert",NA,NA,NA,NA,"LRP344",339.018,21.7080278,92.0800549
"964","N1",339.507,"LRP344",21.7040556,92.0788604,"KmPost",NA,NA,NA,NA,"LRP344a",339.507,21.7040556,92.0788604
"965","N1",339.817,"LRP344a",21.7013611,92.0783882,"Culvert",NA,NA,NA,NA,"LRP345",339.817,21.7013611,92.0783882
"966","N1",340.515,"LRP345",21.6957497,92.0805827,"KmPost",NA,NA,NA,NA,"LRP346",340.515,21.6957497,92.0805827
"967","N1",341.527,"LRP346",21.6868608,92.0800827,"KmPost",NA,NA,NA,NA,"LRP347",341.527,21.6868608,92.0800827
"968","N1",342.527,"LRP347",21.678416,92.0770827,"KmPost",NA,NA,NA,NA,"LRP347a",342.527,21.678416,92.0770827
"969","N1",342.944,"LRP347a",21.6747493,92.0766104,"Bridge",350.674,"A",21.60651897,92.06230707,"LRP347b",342.944,21.6747493,92.0766104
"970","N1",343.006,"LRP347b",21.6742216,92.0765549,"Bridge",350.99,"A",21.60517531,92.06211981,"LRP347c",343.006,21.6742216,92.0765549
"971",NA,NA,"LRP339c",NA,NA,NA,343.243,"A",21.67210496,92.07639925,"LRP342c",343.243,21.67210496,92.07639925
"972","N1",343.429,"LRP347c",21.6704438,92.0762771,"Culvert",NA,NA,NA,NA,"LRP348",343.429,21.6704438,92.0762771
"973","N1",343.463,"LRP348",21.6695549,92.0760549,"KmPost",NA,NA,NA,NA,"LRP348a",343.463,21.6695549,92.0760549
"974","N1",343.559,"LRP348a",21.6688327,92.0759438,"SideRoad,Left",351.628,"A",21.59859353,92.06180124,"LRP348b",343.559,21.6688327,92.0759438
"975","N1",344.325,"LRP348b",21.6618889,92.074916,"Culvert",352.064,"A",21.5960737,92.06140954,"LRP349",344.325,21.6618889,92.074916
"976","N1",344.468,"LRP349",21.6606111,92.0750827,"KmPost",NA,NA,NA,NA,"LRP349a",344.468,21.6606111,92.0750827
"977","N1",344.644,"LRP349a",21.6590556,92.0751382,"Bridge",352.641,"A",21.58943097,92.06303135,"LRP349b",344.644,21.6590556,92.0751382
"978","N1",344.7,"LRP349b",21.653,92.0751382,"Bridge",353.162,"C",21.5876028,92.06490479,"LRP350",344.7,21.653,92.0751382
"979","N1",345.484,"LRP350",21.6518056,92.0737771,"KmPost",NA,NA,NA,NA,"LRP350a",345.484,21.6518056,92.0737771
"980","N1",345.721,"LRP350a",21.6497219,92.0733049,"Bridge",353.694,"A",21.58307413,92.06571585,"LRP350b",345.721,21.6497219,92.0733049
"981","N1",345.783,"LRP350b",21.6491941,92.0733049,"Bridge",NA,NA,NA,NA,"LRP350c",345.783,21.6491941,92.0733049
"982","N1",345.801,"LRP350c",21.649083,92.0733049,"Bridge",NA,NA,NA,NA,"LRP350d",345.801,21.649083,92.0733049
"983",NA,NA,"LRP342c",NA,NA,NA,345.911,"A",21.64808476,92.07332922,"LRP345a",345.911,21.64808476,92.07332922
"984","N1",346.052,"LRP350d",21.6468052,92.0733604,"Culvert",NA,NA,NA,NA,"LRP351",346.052,21.6468052,92.0733604
"985","N1",346.499,"LRP351",21.6428608,92.0732216,"KmPost",NA,NA,NA,NA,"LRP352",346.499,21.6428608,92.0732216
"986","N1",347.517,"LRP352",21.634833,92.0770271,"KmPost",NA,NA,NA,NA,"LRP353",347.517,21.634833,92.0770271
"987","N1",348.545,"LRP353",21.6259716,92.0773882,"KmPost",NA,NA,NA,NA,"LRP353a",348.545,21.6259716,92.0773882
"988",NA,NA,"LRP345a",NA,NA,NA,349.092,"B",21.62253519,92.07370348,"LRP346a",349.092,21.62253519,92.07370348
"989","N1",349.279,"LRP353a",21.6213604,92.0724438,"Culvert",356.517,"A",21.56030426,92.0691476,"LRP354",349.279,21.6213604,92.0724438
"990","N1",349.545,"LRP354",21.6197771,92.0705271,"KmPost",NA,NA,NA,NA,"LRP354a",349.545,21.6197771,92.0705271
"991",NA,NA,"LRP346a",NA,NA,NA,349.759,"B",21.61837666,92.06917134,"LRP351a",349.759,21.61837666,92.06917134
"992","N1",349.944,"LRP354a",21.617166,92.0679993,"Bridge",357.264,"A",21.55542561,92.06795032,"LRP354b",349.944,21.617166,92.0679993
"993","N1",349.995,"LRP354b",21.6167771,92.0678049,"Bridge",NA,NA,NA,NA,"LRP354c",349.995,21.6167771,92.0678049
"994","N1",350.054,"LRP354c",21.6150556,92.0667771,"SideRoad,Right",NA,NA,NA,NA,"LRP355",350.054,21.6150556,92.0667771
"995","N1",350.169,"LRP355",21.61225,92.0652222,"KmPost",NA,NA,NA,NA,"LRP355a",350.169,21.61225,92.0652222
"996","N1",350.309,"LRP355a",21.610086825,92.06399479375,"Culvert",NA,NA,NA,NA,"LRP355b",350.309,21.610086825,92.06399479375
"997","N1",350.489,"LRP355b",21.6073056,92.0624167,"Culvert",NA,NA,NA,NA,"LRP356",350.489,21.6073056,92.0624167
"998","N1",351.286,"LRP356",21.6039167,92.0619444,"KmPost",NA,NA,NA,NA,"LRP356a",351.286,21.6039167,92.0619444
"999","N1",351.343,"LRP356a",21.6030295050251,92.061920540201,"Culvert",NA,NA,NA,NA,"LRP356b",351.343,21.6030295050251,92.061920540201
"1000","N1",351.684,"LRP356b",21.5977219,92.0617778,"Culvert",NA,NA,NA,NA,"LRP357",351.684,21.5977219,92.0617778
"1001","N1",352.286,"LRP357",21.5951108,92.0611944,"KmPost",NA,NA,NA,NA,"LRP357a",352.286,21.5951108,92.0611944
"1002","N1",352.368,"LRP357a",21.5937988401961,92.0616187098039,"Culvert",360.345,"A",21.52552974,92.06532522,"LRP357b",352.368,21.5937988401961,92.0616187098039
"1003","N1",352.694,"LRP357b",21.588583,92.0633056,"Culvert",NA,NA,NA,NA,"LRP358",352.694,21.588583,92.0633056
"1004","N1",353.198,"LRP358",21.5875274,92.0650278,"KmPost",NA,NA,NA,NA,"LRP358a",353.198,21.5875274,92.0650278
"1005","N1",353.298,"LRP358a",21.5861941,92.0650278,"Culvert",361.751,"A",21.51374197,92.06934089,"LRP358b",353.298,21.5861941,92.0650278
"1006","N1",353.466,"LRP358b",21.584833,92.0652222,"Culvert",362.168,"A",21.5104397,92.07086066,"LRP359",353.466,21.584833,92.0652222
"1007","N1",354.197,"LRP359",21.5791938,92.0668049,"KmPost",NA,NA,NA,NA,"LRP359a",354.197,21.5791938,92.0668049
"1008","N1",354.326,"LRP359a",21.5769993,92.0697216,"Culvert",362.691,"A",21.50650693,92.07330264,"LRP360",354.326,21.5769993,92.0697216
"1009",NA,NA,"LRP351a",NA,NA,NA,354.739,"A",21.57440752,92.07074467,"LRP352a",354.739,21.57440752,92.07074467
"1010","N1",355.167,"LRP360",21.5717216,92.0718049,"KmPost",NA,NA,NA,NA,"LRP360a",355.167,21.5717216,92.0718049
