"","road.road","chainage.road","lrp","lat.road","lon.road","type.road","condition","road.bridge","chainage.bridge","lat.bridge","lon.bridge","type.bridge","destination"
"156","N1",65.543,"LRP066a",23.4980552,90.9660278,"Culvert",NA,"N1",65.543,23.4980552,90.9660278,"Culvert","LRP067"
"157","N1",65.726,"LRP067",23.4972774,90.9674716,"KmPost",NA,"N1",65.726,23.4972774,90.9674716,"KmPost","LRP068"
"158","N1",66.726,"LRP068",23.4942219,90.9765549,"KmPost",NA,"N1",66.726,23.4942219,90.9765549,"KmPost","LRP068a"
"159","N1",67.42,"LRP068a",23.4951386,90.9829993,"Culvert",NA,"N1",67.42,23.4951386,90.9829993,"Culvert","LRP069"
"160","N1",67.726,"LRP069",23.4942497,90.985833,"KmPost",NA,"N1",67.726,23.4942497,90.985833,"KmPost","LRP070"
"161","N1",68.726,"LRP070",23.4911386,90.9950274,"KmPost",NA,"N1",68.726,23.4911386,90.9950274,"KmPost","LRP070a"
"162","N1",69.616,"LRP070a",23.4894441,91.0033056,"SideRoad,Left",NA,"N1",69.616,23.4894441,91.0033056,"SideRoad,Left","LRP070b"
"163","N1",69.638,"LRP070b",23.4893886,91.0034722,"SideRoad,Right",NA,"N1",69.638,23.4893886,91.0034722,"SideRoad,Right","LRP071"
"164","N1",69.709,"LRP071",23.4896108,91.0043056,"KmPost",NA,"N1",69.709,23.4896108,91.0043056,"KmPost","LRP072"
"165","N1",70.443,"LRP072",23.4893052,91.0112778,"KmPost",NA,"N1",70.443,23.4893052,91.0112778,"KmPost","LRP072a"
"166","N1",70.527,"LRP072a",23.4890552,91.0120278,"Bridge",NA,"N1",70.527,23.4890552,91.0120278,"Bridge","LRP072b"
"167","N1",70.557,"LRP072b",23.4889441,91.01225,"Bridge",NA,"N1",70.557,23.4889441,91.01225,"Bridge","LRP073"
"168","N1",70.755,"LRP073",23.488333,91.0140833,"KmPost",NA,"N1",70.755,23.488333,91.0140833,"KmPost","LRP074"
"169","N1",71.775,"LRP074",23.4846386,91.0229438,"KmPost",NA,"N1",71.775,23.4846386,91.0229438,"KmPost","LRP075"
"170","N1",72.775,"LRP075",23.4827771,91.0321382,"KmPost",NA,"N1",72.775,23.4827771,91.0321382,"KmPost","LRP075a"
"171","N1",73.688,"LRP075a",23.481166,91.0404441,"Culvert",NA,"N1",73.688,23.481166,91.0404441,"Culvert","LRP076"
"172","N1",73.829,"LRP076",23.4814716,91.0419719,"KmPost",NA,"N1",73.829,23.4814716,91.0419719,"KmPost","LRP076a"
"173","N1",74.7,"LRP076a",23.4820827,91.0504167,"Culvert",NA,"N1",74.7,23.4820827,91.0504167,"Culvert","LRP077"
"174","N1",74.829,"LRP077",23.4821382,91.0516944,"KmPost",NA,"N1",74.829,23.4821382,91.0516944,"KmPost","LRP077a"
"175","N1",75.589,"LRP077a",23.4815271,91.0590278,"SideRoad,Left",NA,"N1",75.589,23.4815271,91.0590278,"SideRoad,Left","LRP078"
"176","N1",75.829,"LRP078",23.4815549,91.0613611,"KmPost",NA,"N1",75.829,23.4815549,91.0613611,"KmPost","LRP079"
"177","N1",76.829,"LRP079",23.4801104,91.0706382,"KmPost",NA,"N1",76.829,23.4801104,91.0706382,"KmPost","LRP079a"
"178","N1",77.773,"LRP079a",23.4770827,91.0789993,"Culvert",NA,"N1",77.773,23.4770827,91.0789993,"Culvert","LRP080"
"179","N1",77.829,"LRP080",23.4770271,91.0794716,"KmPost",NA,"N1",77.829,23.4770271,91.0794716,"KmPost","LRP081"
"180","N1",78.829,"LRP081",23.4781938,91.0889997,"KmPost",NA,"N1",78.829,23.4781938,91.0889997,"KmPost","LRP082"
"181","N1",79.829,"LRP082",23.4775549,91.0986663,"KmPost",NA,"N1",79.829,23.4775549,91.0986663,"KmPost","LRP082a"
"182","N1",80.342,"LRP082a",23.4778604,91.1036111,"Culvert",NA,"N1",80.342,23.4778604,91.1036111,"Culvert","LRP083"
"183","N1",80.829,"LRP083",23.4779993,91.1055278,"KmPost",NA,"N1",80.829,23.4779993,91.1055278,"KmPost","LRP083a"
"184","N1",81.801,"LRP083a",23.4789438,91.1177216,"Culvert",NA,"N1",81.801,23.4789438,91.1177216,"Culvert","LRP084"
"185","N1",81.829,"LRP084",23.4789716,91.1179993,"KmPost",NA,"N1",81.829,23.4789716,91.1179993,"KmPost","LRP084a"
"186","N1",81.846,"LRP084a",23.4789716,91.118166,"SideRoad,Left",NA,"N1",81.846,23.4789716,91.118166,"SideRoad,Left","LRP084b"
"187","N1",82.393,"LRP084b",23.4793327,91.1234716,"Culvert",NA,"N1",82.393,23.4793327,91.1234716,"Culvert","LRP085"
"188","N1",82.829,"LRP085",23.4800827,91.1276382,"KmPost",NA,"N1",82.829,23.4800827,91.1276382,"KmPost","LRP086"
"189","N1",83.829,"LRP086",23.4767216,91.1364441,"KmPost",NA,"N1",83.829,23.4767216,91.1364441,"KmPost","LRP087"
"190","N1",84.829,"LRP087",23.4682216,91.1394441,"KmPost",NA,"N1",84.829,23.4682216,91.1394441,"KmPost","LRP088"
"191","N1",85.829,"LRP088",23.4595833,91.1421386,"KmPost",NA,"N1",85.829,23.4595833,91.1421386,"KmPost","LRP088a"
"192","N1",85.897,"LRP088a",23.459,91.142333,"CrossRoad",NA,"N1",85.897,23.459,91.142333,"CrossRoad","LRP089"
"193","N1",86.829,"LRP089",23.4513056,91.1460552,"KmPost",NA,"N1",86.829,23.4513056,91.1460552,"KmPost","LRP089a"
"194","N1",87.132,"LRP089a",23.448833,91.1471386,"Bridge",NA,"N1",87.132,23.448833,91.1471386,"Bridge","LRP089b"
